"","det","tod","doy","obs","intensity"
"78","100010..........",341,139,"DHORT",6
"79","111111111.......",364,142,"ALADI",9
"80","11111111........",345,144,"ALADI",8
"81","00100011000.....",377,154,"DHORT",11
"82","1011110111110...",362,164,"DHORT",13
"83","00100010........",449,152,"DHORT",8
"84","010100010001....",385,153,"DHORT",12
"85","00001000........",422,165,"DHORT",8
"86","0000100011011111",397,156,"DHORT",16
"87","0000000000000000",413,155,"DHORT",16
"88","10001100........",352,165,"DHORT",8
"89","0000............",386,152,"DHORT",4
"90","10111111........",359,175,"BRAMI",8
"91","100000..........",312,165,"RIPMA",6
"92","000000..........",359,154,"CWINT",6
"93","11111111........",349,149,"ALADI",8
"94","111111111.......",359,150,"DHORT",9
"95","111111111111....",379,154,"BWOID",12
"96","0000000001......",393,150,"CWINT",10
"97","0000000000000...",422,174,"CGRAY",13
"98","00000000000.....",413,155,"BWOID",11
"99","011111011000....",353,157,"JGORG",12
"100","000000000000....",390,150,"JGORG",12
"101","0000000000000...",437,155,"CWINT",13
"102","011001..........",366,153,"BRAMI",6
"103","100001000000....",436,154,"BRAMI",12
"104","0000000000000...",429,152,"CGRAY",13
"105","0000............",329,151,"SMUSG",4
"106","11011100011100..",415,152,"JEDEL",14
"107","000000000000....",419,153,"JEDEL",12
"108","0000000000000000",415,150,"ALADI",16
"109","000000000.......",383,153,"CGRAY",9
"110","0000100000......",400,156,"BWOID",10
"111","1111111101111...",391,145,"CGRAY",13
"112","101101111.......",387,150,"CGRAY",9
"113","010000..........",351,150,"SMUSG",6
"114","111111111.......",369,149,"CGRAY",9
"115","1111............",345,190,"RJOHN",4
"116","0001............",338,183,"KMERE",4
"117","0000010011111...",453,148,"CGRAY",13
"118","0100100110001001",434,146,"CGRAY",16
"119","000011111.......",382,171,"CGRAY",9
"120","011011111111....",376,182,"CGRAY",12
"121","000000..........",352,172,"BIREK",6
"122","00000000........",352,183,"CGRAY",8
"123","00000000000.....",408,153,"BWOID",11
